"x","y","p","dens"
0.25,0.0438333333333333,0,0
0.75,0.0438333333333333,0,0
1.25,0.0438333333333333,0.000813059378114594,0.696908038383937
1.75,0.0438333333333333,0.0158546578732346,13.5897067484868
2.25,0.0438333333333333,0.0182938360075784,15.6804308636386
2.75,0.0438333333333333,0.00935018284831782,8.01444244141528
3.25,0.0438333333333333,0.0130089500498335,11.150528614143
3.75,0.0438333333333333,0.00609794533585945,5.22681028787953
4.25,0.0438333333333333,0.00447182657963026,3.83299421111165
4.75,0.0438333333333333,0.00569141564680215,4.87835626868756
5.25,0.0438333333333333,0.00243917813434378,2.09072411515181
5.75,0.0438333333333333,0.00284570782340108,2.43917813434378
6.25,0.0438333333333333,0,0
6.75,0.0438333333333333,0,0
0.25,0.0461666666666667,0,0
0.75,0.0461666666666667,0,0
1.25,0.0461666666666667,0.00162611875622919,1.39381607676787
1.75,0.0461666666666667,0.0134154797388908,11.498982633335
2.25,0.0461666666666667,0.0272374891668389,23.3464192858619
2.75,0.0461666666666667,0.0138220094279481,11.8474366525269
3.25,0.0461666666666667,0.0113828312936043,9.75671253737512
3.75,0.0461666666666667,0.0174807766294638,14.9835228252546
4.25,0.0461666666666667,0.00975671253737512,8.36289646060725
4.75,0.0461666666666667,0.00691100471397404,5.92371832626347
5.25,0.0461666666666667,0.00569141564680215,4.87835626868756
5.75,0.0461666666666667,0.00203264844528648,1.74227009595984
6.25,0.0461666666666667,0.000813059378114594,0.696908038383937
6.75,0.0461666666666667,0.000813059378114594,0.696908038383937
0.25,0.0485,0,0
0.75,0.0485,0,0
1.25,0.0485,0,0
1.75,0.0485,0.00325223751245837,2.78763215353575
2.25,0.0485,0.0203264844528648,17.4227009595984
2.75,0.0485,0.0365876720151567,31.3608617272772
3.25,0.0485,0.0272374891668389,23.3464192858619
3.75,0.0485,0.0191068953856929,16.3773389020225
4.25,0.0485,0.0113828312936043,9.75671253737512
4.75,0.0485,0.0113828312936043,9.75671253737512
5.25,0.0485,0.0113828312936043,9.75671253737512
5.75,0.0485,0.00650447502491675,5.5752643070715
6.25,0.0485,0.00243917813434378,2.09072411515181
6.75,0.0485,0.00406529689057297,3.48454019191969
0.25,0.0508333333333333,0,0
0.75,0.0508333333333333,0,0
1.25,0.0508333333333333,0,0
1.75,0.0508333333333333,0.000813059378114594,0.696908038383937
2.25,0.0508333333333333,0.00528488595774486,4.52990224949559
2.75,0.0508333333333333,0.0174807766294638,14.9835228252546
3.25,0.0508333333333333,0.0268309594777816,22.9979652666699
3.75,0.0508333333333333,0.0353680829479848,30.3154996697013
4.25,0.0508333333333333,0.0288636079230681,24.7402353626298
4.75,0.0508333333333333,0.0231721922762659,19.8618790939422
5.25,0.0508333333333333,0.01504159849512,12.8927987101028
