"x","y","p","dens"
15.5,0.0496666666666667,0,0
16.5,0.0496666666666667,2.34960925786509e-08,5.03487698113949e-06
17.5,0.0496666666666667,1.76229199971978e-08,3.77633999939953e-06
18.5,0.0496666666666667,6.19886338319553e-09,1.32832786782761e-06
19.5,0.0496666666666667,2.13031453646373e-09,4.5649597209937e-07
20.5,0.0496666666666667,4.76954946817542e-10,1.02204631460902e-07
21.5,0.0496666666666667,0,0
22.5,0.0496666666666667,0,0
23.5,0.0496666666666667,0,0
24.5,0.0496666666666667,0,0
25.5,0.0496666666666667,0,0
26.5,0.0496666666666667,0,0
27.5,0.0496666666666667,0,0
28.5,0.0496666666666667,0,0
29.5,0.0496666666666667,0,0
7.5,0.0543333333333333,0.010838504137869,2.32253660097193
8.5,0.0543333333333333,0.00405915665656911,0.869819283550525
9.5,0.0543333333333333,0.00161553035721411,0.346185076545881
10.5,0.0543333333333333,0.000608310711173908,0.130352295251552
11.5,0.0543333333333333,0.00023687465669014,0.0507588550050299
12.5,0.0543333333333333,7.82599259750788e-05,0.0167699841375169
13.5,0.0543333333333333,2.3921596728161e-05,0.00512605644174878
14.5,0.0543333333333333,7.30469209439633e-06,0.00156529116308493
15.5,0.0543333333333333,2.5140511095165e-06,0.000538725237753536
16.5,0.0543333333333333,7.47739650222987e-07,0.000160229925047783
17.5,0.0543333333333333,2.27858496280904e-07,4.88268206316223e-05
18.5,0.0543333333333333,5.102568234991e-08,1.09340747892664e-05
19.5,0.0543333333333333,9.36030786098385e-09,2.00578025592511e-06
20.5,0.0543333333333333,1.98548486481709e-09,4.25461042460804e-07
21.5,0.0543333333333333,7.26287635670621e-10,1.55633064786562e-07
22.5,0.0543333333333333,9.0266671323169e-11,1.93428581406791e-08
23.5,0.0543333333333333,2.30282783819647e-11,4.93463108184958e-09
24.5,0.0543333333333333,6.92315322181614e-12,1.48353283324632e-09
25.5,0.0543333333333333,2.01809705835387e-12,4.32449369647258e-10
26.5,0.0543333333333333,5.6946954707371e-13,1.22029188658652e-10
27.5,0.0543333333333333,1.09413932358748e-13,2.34458426483032e-11
28.5,0.0543333333333333,0,0
29.5,0.0543333333333333,0,0
7.5,0.059,0.0095037413458729,2.03651600268705
8.5,0.059,0.00415424719738533,0.890195828011143
9.5,0.059,0.0015994107206539,0.34273086871155
10.5,0.059,0.000546075494851818,0.117016177468247
11.5,0.059,0.000195784311850983,0.0419537811109248
12.5,0.059,7.66281128798778e-05,0.0164203099028309
13.5,0.059,3.44058707340079e-05,0.00737268658585883
14.5,0.059,1.37259097574567e-05,0.00294126637659787
15.5,0.059,4.93618920621137e-06,0.00105775482990244
16.5,0.059,1.7566931936737e-06,0.000376434255787221
17.5,0.059,5.68508187684538e-07,0.000121823183075258
18.5,0.059,1.7868104798032e-07,3.82887959957829e-05
19.5,0.059,5.66794427693917e-08,1.21455948791554e-05
